"Menu File Name","Menu Name","Submenus",,,,,,,,,,,,,,,,,
"root","Functions","structs","math","boolfunc","string","arrclust","cluster","compare","timedlg","file","waveforms","anmeas","instr","appctl","graphics","comm","nireport","adv","gmath"
"structs","Structures",,,,,,,,,,,,,,,,,,
"math","Numeric","convert","trig","log","complex","constant",,,,,,,,,,,,,
"convert","Conversion",,,,,,,,,,,,,,,,,,
"trig","Trigonometric",,,,,,,,,,,,,,,,,,
"log","Logarithmic",,,,,,,,,,,,,,,,,,
"complex","Complex",,,,,,,,,,,,,,,,,,
"constant","Additional Numeric Constants",,,,,,,,,,,,,,,,,,
"boolfunc","Boolean",,,,,,,,,,,,,,,,,,
"string","String","advstring","altstrng","strcvt",,,,,,,,,,,,,,,
"advstring","Additional String Functions",,,,,,,,,,,,,,,,,,
"altstrng","String/Number Conversion",,,,,,,,,,,,,,,,,,
"strcvt","String/Array/Path Conversion",,,,,,,,,,,,,,,,,,
"arrclust","Array",,,,,,,,,,,,,,,,,,
"cluster","Cluster",,,,,,,,,,,,,,,,,,
"compare","Comparison",,,,,,,,,,,,,,,,,,
"timedlg","Time & Dialog",,,,,,,,,,,,,,,,,,
"file","File I/O","binfile","advfile","filecnst","config",,,,,,,,,,,,,,
"binfile","Binary File VIs",,,,,,,,,,,,,,,,,,
"advfile","Advanced File Functions",,,,,,,,,,,,,,,,,,
"filecnst","File Constants",,,,,,,,,,,,,,,,,,
"config","Configuration File VIs",,,,,,,,,,,,,,,,,,
"waveforms","Waveform","mamain","magenr","WDTFile","waveformops",,,,,,,,,,,,,,
"waveformops","Waveform Operations",,,,,,,,,,,,,,,,,,
"WDTFile","Waveform File I/O",,,,,,,,,,,,,,,,,,
"anmeas","Analyze","mamain","macond","mamon","magenr","analysis","gmath",,,,,,,,,,,,
"mamain","Waveform Measurements",,,,,,,,,,,,,,,,,,
"macond","Waveform Conditioning",,,,,,,,,,,,,,,,,,
"mamon","Waveform Monitoring",,,,,,,,,,,,,,,,,,
"magenr","Waveform Generation",,,,,,,,,,,,,,,,,,
"analysis","Signal Processing","ansiggen","andsp","antrans","anfilt","anwind",,,,,,,,,,,,,
"ansiggen","Signal Generation",,,,,,,,,,,,,,,,,,
"andsp","Time Domain",,,,,,,,,,,,,,,,,,
"antrans","Frequency Domain",,,,,,,,,,,,,,,,,,
"anfilt","Filters","anfltiir","anfltfir",,,,,,,,,,,,,,,,
"anfltiir","Advanced IIR Filtering",,,,,,,,,,,,,,,,,,
"anfltfir","Advanced FIR Filtering",,,,,,,,,,,,,,,,,,
"anwind","Windows",,,,,,,,,,,,,,,,,,
"gmath","Mathematics","mathform","math1d2d","mathcalc","anstat","anfit","anlinalg","anarr","mathopt","mathzero","mathfunc",,,,,,,,
"mathpars","Advanced Formula Parsing",,,,,,,,,,,,,,,,,,
"math1d2d","1D and 2D Evaluation",,,,,,,,,,,,,,,,,,
"mathcalc","Calculus","mathode",,,,,,,,,,,,,,,,,
"mathode","Differential Equations",,,,,,,,,,,,,,,,,,
"anstat","Probability and Statistics","anprob","ananova",,,,,,,,,,,,,,,,
"anprob","Probability",,,,,,,,,,,,,,,,,,
"ananova","Analysis of Variance",,,,,,,,,,,,,,,,,,
"anfit","Curve Fitting",,,,,,,,,,,,,,,,,,
"anlinalg","Linear Algebra","anlaradv","anlacx",,,,,,,,,,,,,,,,
"anlaradv","Advanced Linear Algebra",,,,,,,,,,,,,,,,,,
"anlacx","Complex Linear Algebra","anlacadv",,,,,,,,,,,,,,,,,
"anlacadv","Advanced Complex Linear Algebra",,,,,,,,,,,,,,,,,,
"anarr","Array Operations",,,,,,,,,,,,,,,,,,
"mathopt","Optimization",,,,,,,,,,,,,,,,,,
"mathzero","Zeroes",,,,,,,,,,,,,,,,,,
"mathfunc","Special and Numeric Functions",,,,,,,,,,,,,,,,,,
"instr","Instrument I/O","gpib","serial","visa",,,,,,,,,,,,,,,
"gpib","GPIB","gpib4882",,,,,,,,,,,,,,,,,
"gpib4882","GPIB 488.2",,,,,,,,,,,,,,,,,,
"serial","Serial",,,,,,,,,,,,,,,,,,
"visa","VISA","visaadv",,,,,,,,,,,,,,,,,
"visaadv","VISA Advanced","vserial","vevent","vhlreg","vllreg",,,,,,,,,,,,,,
"vserial","Interface Specific","serial",,,,,,,,,,,,,,,,,
"vevent","Event Handling",,,,,,,,,,,,,,,,,,
"vhlreg","High Level Register Access",,,,,,,,,,,,,,,,,,
"vllreg","Low Level Register Access",,,,,,,,,,,,,,,,,,
"appctl","Application Control","lvmenu","help",,,,,,,,,,,,,,,,
"lvmenu","Menu",,,,,,,,,,,,,,,,,,
"help","Help",,,,,,,,,,,,,,,,,,
"pictplots","Picture Plots",,,,,,,,,,,,,,,,,,
"picture","Picture Functions",,,,,,,,,,,,,,,,,,
"graphicsfmt","Graphics Formats",,,,,,,,,,,,,,,,,,
"sound","Sound","soundfile","soundinput","soundoutput",,,,,,,,,,,,,,,
"soundfile","Sound File",,,,,,,,,,,,,,,,,,
"soundinput","Sound Input",,,,,,,,,,,,,,,,,,
"soundoutput","Sound Output",,,,,,,,,,,,,,,,,,
"dsocket","Data Socket","variant",,,,,,,,,,,,,,,,,
"tcp","TCP",,,,,,,,,,,,,,,,,,
"udp","UDP",,,,,,,,,,,,,,,,,,
"nireport","Report Generation","nireplay","nirepadv",,,,,,,,,,,,,,,,
"nireplay","Report Layout",,,,,,,,,,,,,,,,,,
"nirepadv","Advanced",,,,,,,,,,,,,,,,,,
"advdata","Data Manipulation","variant",,,,,,,,,,,,,,,,,
"variant","Variant",,,,,,,,,,,,,,,,,,
"synch","Synchronization","notifier","queue","semaphor","rendezvs","occur",,,,,,,,,,,,,
"queue","Queue",,,,,,,,,,,,,,,,,,
"notifier","Notification",,,,,,,,,,,,,,,,,,
"semaphor","Semaphore",,,,,,,,,,,,,,,,,,
"rendezvs","Rendezvous",,,,,,,,,,,,,,,,,,
"occur","Occurrences",,,,,,,,,,,,,,,,,,
